maximumOperatingTime,currentOperatingTime,age,numberTo,wear
83676,4606,2,3,6.004565227783355
29914,28945,13,27,96.26071404693455
92440,55819,20,34,63.38403288619645
57675,56988,25,65,91.30884265279583
39784,943,0,0,2.370299617936859
38193,22908,9,26,55.97957740947294
15574,9959,3,6,63.94632079106202
92455,65719,28,40,79.08214807203505
24101,13978,7,18,55.997593460852244
57997,27381,12,12,53.21106264117109
76551,24017,10,7,37.87385533827122
32258,28874,14,30,88.50957901915804
71764,6660,3,3,10.780419151663788
78678,40504,16,8,63.480718879483476
74785,30353,11,29,37.08701611285686
92590,68152,26,33,83.10622097418728
10090,7702,3,8,75.33300297324082
49715,8662,4,4,19.423312883435585
64125,11608,5,12,17.10214424951267
86671,15793,8,22,15.221781218631374
19541,18025,7,15,91.74195281715367
68932,6294,3,2,11.130737538443682
42433,25631,13,35,55.903459571559864
80419,28954,11,6,44.0039294196645
31981,25619,9,12,83.10693849473125
3058,2850,1,2,93.19816873773709
66916,34467,13,25,52.007860601350956
72632,12482,5,6,19.185262694129307
88450,81194,32,73,87.29649519502544
21665,10578,4,4,50.82529425340411
40376,35047,17,11,98.3015652863087
88166,82667,37,104,78.7629017988794
86509,9040,3,9,8.949779791697972
73573,47413,18,16,74.44347790629715
77574,61782,28,18,98.64266377910124
42320,30860,15,17,79.42060491493383
98829,93457,46,108,86.56434852118306
88562,73269,27,59,80.23187145728416
30714,19019,8,7,66.42290160838706
1883,287,0,0,15.241635687732343
6099,4487,2,3,74.06943761272339
6555,4274,1,2,65.20213577421816
67305,46327,22,27,77.33143897184459
86214,35530,14,26,42.211404180295546
75775,71749,25,21,109.18690201253712
27451,27289,10,23,97.90985756438745
61172,15793,7,9,28.317367423003986
32819,11850,5,5,38.60713306316463
42580,13931,6,13,32.21723813997182
17174,13756,5,12,79.09782228950739
57352,32441,16,34,55.56472311340494
6787,3517,1,1,52.31965522322086
59374,14154,6,6,26.838717283659513
16366,7707,3,4,48.09153122326775
88809,28899,10,19,33.04062088301861
72969,20100,9,17,28.045944168071372
83101,28156,11,6,41.881662073861925
14833,12543,5,3,88.06145081911953
54147,37522,14,29,68.79654459157479
91579,80846,37,105,72.78006420685965
13886,10126,4,5,74.42236785251332
21199,2311,1,3,10.40145761592528
14842,7631,3,8,50.41490365179895
7316,1133,0,0,15.486604702022964
72917,54315,24,41,77.9888023369036
66989,29058,13,34,39.377270895221606
41942,22274,11,9,59.606671117257164
80701,11120,4,12,11.779259240901602
16666,879,0,0,5.274210968438737
48529,33850,12,21,71.25210698757444
23125,1943,1,2,8.402162162162162
39043,16705,8,22,39.78615885049817
45552,6565,3,8,13.412100456621005
71790,39350,14,13,62.312648001114354
73265,49078,21,14,80.98696512659524
79639,75717,35,80,90.07527718831227
24303,12382,4,4,52.94844257910546
56145,1923,1,3,2.925060112209458
23921,12772,5,4,56.39241670498725
51331,5881,3,2,13.457014279869865
42774,26388,11,8,68.69168186281385
88482,50043,17,37,55.057265884586684
13149,6425,2,5,48.36303140923264
61718,24028,10,14,41.93191613467708
19459,16309,6,7,86.3121177861144
7833,4976,2,4,63.52610749393591
55679,44300,17,22,85.56321054616642
84147,56001,19,22,74.55139220649578
1130,642,0,0,56.81415929203539
56908,19620,7,5,38.97669923385113
53585,14522,5,9,27.60086778016236
9722,6964,3,7,71.13135157375025
63934,56771,23,37,93.29625864172428
