maximumOperatingTime,currentOperatingTime,age,numberTo,wear
23711,20527,7,14,86.57163341908819
97625,82598,28,21,102.10742637644046
62202,2081,1,1,3.8455515899810297
27620,24185,10,18,88.56335988414193
46991,13465,5,12,27.65442318741887
92616,82996,30,69,85.11302582707091
76814,22441,8,6,34.21472648215169
93173,84518,34,94,77.71082824423384
45030,42182,18,12,105.67532755940483
5747,493,0,0,8.57838872455194
95044,30618,12,7,40.714553259542946
25037,3250,1,1,13.480788433118983
5124,384,0,0,7.494145199063231
51609,44236,21,29,92.21373210099013
40507,15144,6,16,35.38613079220875
92105,24464,11,15,30.06099017425764
43191,30234,11,9,76.50069458915051
6655,1236,1,1,19.072501878287003
16566,9476,4,4,59.20149704213449
28733,7457,3,4,26.952737270734
4486,3221,1,2,71.80115916183682
74338,50858,18,28,72.41453899755173
57088,43868,20,50,71.84276905829597
10950,3316,1,1,30.78310502283105
69986,68835,24,14,115.35538536278685
63257,32314,11,12,56.08367453404366
84896,13342,6,13,15.215699208443269
38039,8712,4,9,22.4028102736665
85995,27026,12,21,32.92740857026571
15418,1001,0,0,6.492411467116357
80658,6771,3,5,8.894703563192738
21058,19672,8,21,90.91817836451705
68004,50062,18,53,65.11625786718429
48770,37367,17,25,81.1188230469551
85925,74677,31,38,98.90951411114344
94856,24367,9,6,31.68841190857721
97711,37028,18,17,47.39542630819457
80271,28203,11,17,37.63473109840415
47847,43231,21,18,102.35258218906095
35984,9246,4,6,26.69475322365496
24563,7787,3,4,32.702153645727314
85142,65425,24,57,72.3422165323812
84016,35700,16,23,46.99190630356123
52225,35347,14,35,64.18214456677836
86477,31187,12,30,33.06392451171988
14255,3455,1,2,24.237109786039984
49185,34675,14,21,73.99913591542136
54378,16195,6,5,33.282264886534996
50210,15757,7,4,36.382194781915956
75934,27092,11,27,33.17835225327258
70332,50369,17,9,84.11604959335722
17756,12708,5,15,69.07017346249155
52940,485,0,0,0.9161314695882131
77492,16736,7,10,23.59706808444743
55014,41400,16,21,80.75357181808268
17888,8414,4,7,47.5371198568873
19297,8557,4,3,46.84368036482355
47735,38973,15,15,89.14449565308473
8252,439,0,0,5.319922443044111
71683,7388,3,8,9.306488288715595
86304,40138,17,31,48.007693733778275
99396,82319,38,110,65.81922813795323
11222,3566,2,4,31.776866868650863
40890,36882,14,24,92.19809244314014
8850,3410,1,1,39.03107344632768
64232,2968,1,3,4.120749782040105
45352,17702,6,18,36.03245722349621
97824,3476,1,1,4.053320248609748
71182,61888,23,13,103.44332836953161
81731,30781,11,8,44.661352485592985
27459,26491,11,27,93.97474416402638
39853,11056,4,4,29.74195167239606
59123,3785,1,3,5.90190788694755
60665,11959,5,12,18.713178933487185
79788,44441,15,45,48.19885195768788
32917,26088,10,27,75.75388097335723
76290,24778,12,28,30.47869969851881
53910,21762,8,9,43.86727879799666
69993,3507,1,2,5.0105010501050105
91716,59810,24,61,58.71217671943826
54910,19777,7,13,36.517118921872154
58785,30404,11,22,51.72067704346347
31896,8086,3,8,24.351141208929022
20392,1402,1,1,7.375245194193802
64901,58424,21,17,102.5201845888353
77165,50111,22,64,54.940063500291586
93035,15221,5,3,19.860509485677433
36327,3217,1,3,8.355672089630303
75833,8490,3,3,12.695653607268603
56975,5861,3,5,10.786967968407197
99970,94340,46,90,95.36831049314793
91236,30682,15,15,41.12926914814328
27963,23311,11,12,88.36373064406537
68304,21552,8,7,36.05305692199579
6237,6048,2,3,97.46969696969697
3934,3626,1,2,92.17081850533808
55945,11416,4,3,22.905755652873356
94883,81297,31,22,105.68131277468039
29769,25010,10,14,87.01357116463436
61001,55855,20,24,99.56407272011934
4541,3862,1,2,85.0473463994715
59445,16561,7,7,31.359365800319623
80596,4819,2,2,6.979204923321256
35051,2782,1,1,8.437006076859433
38737,20152,9,20,51.022614038258
2659,1505,1,2,56.60022564874013
60305,56844,24,70,83.26084072630795
13047,4889,2,3,37.97221583505787
26742,17840,7,8,69.7115398997831
57126,41592,20,50,67.8074782060708
9711,4928,2,3,51.24657604778087
6837,3119,1,2,45.61942372385549
54775,7279,3,4,14.288909173893199
11622,1919,1,3,16.011787988298057
85204,64737,23,52,72.97882728510399
92518,54850,20,50,54.285760608746415
99803,83733,30,16,105.89827961083334
30520,13409,5,7,45.435124508519
72174,20385,10,18,29.244243079225207
26935,10044,5,3,40.789771672545015
8755,4905,2,5,55.525128498001145
33198,19161,7,16,56.717332369419836
87529,73922,30,29,99.95429514789384
7430,6825,2,2,92.85733512786003
62746,11533,4,3,20.880454530966116
28829,24623,9,13,87.910524125013
12444,904,0,0,7.264545162327226
54794,773,0,0,1.410738402014819
3407,852,0,0,25.007337833871443
60569,18947,9,11,34.78167874655351
12422,4129,1,1,33.73941394300435
31888,6746,3,8,20.15529352734571
91087,14691,7,6,20.12853645415921
21544,5570,3,5,26.35406609728927
77152,21466,10,5,35.322998755703026
43679,27350,10,24,60.615902378717465
82584,48098,19,50,52.24130582195099
19346,15270,5,8,79.93104517729763
17241,11632,5,3,70.96708427585408
48012,46699,18,48,91.26526701657919
3850,3509,1,3,90.64285714285714
13890,7446,3,2,55.60691144708423
4565,3906,2,3,86.06407447973713
49463,3664,1,1,7.907557163940723
37701,8755,4,12,21.22219569772685
95345,37413,18,50,32.239603545020714
91417,33808,12,15,41.482180557226776
70210,30378,14,37,38.76734083463894
76655,37934,15,19,54.986661013632514
25954,15780,6,18,57.79987670493951
67611,16350,7,16,23.18245551759329
66848,66438,25,49,99.88666826232647
93294,44302,17,27,50.986440714301025
83554,55863,21,62,56.85855853699404
2363,2169,1,1,92.29009733389759
41510,3894,1,3,8.880872079017104
87502,16303,6,18,15.631574135448332
16228,11523,4,10,70.0069016514666
15552,15499,6,14,98.65920781893003
11650,1340,0,0,11.50214592274678
66012,18653,7,6,32.25698357874326
80377,68635,30,75,77.89134329472361
22562,7119,2,3,32.05305380728659
79810,37854,15,44,40.43014659817065
16279,9032,4,7,55.982523496529275
97445,163,0,0,0.1672738467853661
24239,21109,7,4,92.0869260283015
32657,758,0,0,2.321095017913464
61588,44833,18,18,81.79502500487108
79972,73719,35,89,82.68101335467414
63029,40260,20,11,78.37535896174776
26534,13975,5,10,52.66827466646567
22907,3222,1,2,14.065569476579212
24318,19621,10,11,85.18508923431203
10905,1316,1,1,12.567858780375975
9420,1052,0,0,11.167728237791932
63229,27255,10,16,45.10522070568885
2508,2189,1,2,87.28070175438597
49784,7011,3,8,13.082837859553273
81092,1218,1,2,1.5019977309722292
72725,8144,3,6,11.198349948435888
79270,66588,25,67,75.50151381354863
70579,31463,14,27,45.07841567605095
17513,16553,6,3,99.018357791355
36487,5579,2,5,14.79037739468852
71248,65798,26,61,87.85066247473613
9280,6420,3,8,68.18103448275862
3067,2381,1,2,77.63286599282686
83783,12897,6,17,12.893337550577087
96028,90986,33,41,107.24944807764402
53359,50843,23,43,96.78476920482018
5270,1287,0,0,24.421252371916506
51637,14683,6,11,28.935036892150976
68276,44758,17,45,60.05451403128478
18982,2110,1,3,10.615793910020018
54914,25647,11,31,42.20393706522927
42429,40749,18,44,92.04044403591882
94343,70551,30,70,69.78138282649482
51751,17118,6,13,32.57762168846979
10961,9813,4,3,92.02650305629048
56453,28327,13,31,47.67802419711973
30584,19295,7,15,62.588543029034795
93874,84283,32,95,74.28311353516416
48100,7362,3,3,16.805613305613306
44561,17019,7,13,38.692589932900965
29770,1699,1,2,5.7070876721531745
58326,53597,26,55,90.39212358125022
49757,36262,15,24,75.87818799364914
32640,18553,8,4,62.841299019607845
18441,16466,6,6,92.29016864595195
45691,34921,15,42,70.42861832746054
4973,1277,0,0,25.678664789865273
6558,1107,0,0,16.880146386093323
97969,44400,17,42,41.320458512386566
6418,4283,1,2,66.73418510439389
6468,1814,1,2,28.04576376004947
30918,30251,12,18,100.8426806391099
31789,17173,7,10,56.02183145113089
58396,49948,23,38,89.53325570244537
10808,3613,1,2,33.42894152479645
74270,7559,3,5,10.677729904402854
44948,30919,15,24,71.78837768087567
86934,49382,17,28,59.804012239169936
62073,10531,4,2,19.96550835306816
7385,5450,2,2,74.79823967501693
82780,51153,20,32,65.79391157284368
55488,30789,13,13,61.98767301038063
35595,4319,2,3,12.633726647000984
39331,15184,7,21,35.10567999796598
98413,6439,3,2,8.542834788086939
38713,34337,16,28,90.69630356727714
76036,23170,9,20,29.472407806828343
73720,4004,2,4,5.431361909929462
85540,17655,8,5,26.139466916062663
33981,779,0,0,2.2924575498072453
13875,10685,4,7,77.509009009009
82140,60621,25,66,65.80204528853177
99323,33910,15,26,36.141135487248675
83326,5850,3,3,8.520617814367665
9416,732,0,0,7.7740016992353445
36025,22560,10,7,69.12317834836918
28414,12328,5,8,44.387062715562756
1019,44,0,0,4.317958783120707
11065,496,0,0,4.482602801626751
51864,30878,14,22,62.53648002467993
11902,4086,2,2,35.330364644597545
74695,15138,6,14,19.266416761496753
98194,53529,22,45,54.01351406399576
11567,10764,4,5,94.5578369499438
41969,28319,10,5,74.97599418618505
67108,19258,9,22,26.697025689932644
34865,13604,6,6,42.019073569482295
9458,3221,1,1,34.55582575597378
99411,49958,21,14,64.2539960366559
33696,5781,3,2,19.156339031339034
73980,15232,7,11,22.089348472560154
89017,8376,3,8,8.40943864655066
78522,54129,25,57,65.43482081454879
